"251170090","SMOLICE","2015","02",9.4,"",5.2,"",-8.3,"",-2.1,"",1.2,"",-15.2,"",15.4,"",5.2,"","08","",5,"",3,2,5
"251170090","SMOLICE","2015","03",18.3,"",10.8,"",-5.3,"",.3,"",5.1,"",-10.4,"",42.2,"",11.2,"","29","",0,"",0,12,1
"251170090","SMOLICE","2015","04",24.8,"",14.5,"",-3.5,"",2.0,"",8.0,"",-8.8,"",18.9,"",6.7,"","27","",0,"",0,4,3
"251170090","SMOLICE","2015","05",25.5,"",19.4,"",.4,"",7.1,"",13.5,"",-2.8,"",24.5,"",6.5,"","05","",0,"",0,11,0
"251170090","SMOLICE","2015","06",31.5,"",23.1,"",5.8,"",10.3,"",16.9,"",3.2,"",35.3,"",9.6,"","22","",0,"",0,14,0
"251170090","SMOLICE","2015","07",34.7,"",27.3,"",5.3,"",13.6,"",20.6,"",3.1,"",43.3,"",11.0,"","07","",0,"",0,10,0
"251170090","SMOLICE","2015","08",37.6,"",30.2,"",6.3,"",16.0,"",22.9,"",3.9,"",33.9,"",29.5,"","15","",0,"",0,7,0
"251170090","SMOLICE","2015","09",35.5,"",21.6,"",2.7,"",10.2,"",15.2,"",-1.3,"",28.8,"",10.7,"","10","",0,"",0,7,0
"251170090","SMOLICE","2015","10",22.8,"",12.9,"",-2.2,"",4.2,"",8.0,"",-5.1,"",15.1,"",8.5,"","15","",0,"",0,8,0
"251170090","SMOLICE","2015","11",17.5,"",10.2,"",-4.0,"",2.7,"",6.0,"",-7.6,"",52.0,"",15.0,"","15","",0,"",0,16,0
"251170090","SMOLICE","2015","12",14.5,"",8.8,"",-5.6,"",2.6,"",5.4,"",-8.9,"",28.7,"",9.6,"","12","",0,"",0,14,0
"251190050","PUCZNIEW","2015","01",11.8,"",4.2,"",-9.9,"",-.6,"",1.5,"",-12.3,"",45.6,"",8.2,"","10","",5,"",9,9,12
"251190050","PUCZNIEW","2015","02",9.9,"",4.7,"",-8.0,"",-1.8,"",.8,"",-12.5,"",13.3,"",4.7,"","07","",7,"",11,4,6
"251190050","PUCZNIEW","2015","03",18.7,"",10.4,"",-6.8,"",.3,"",4.4,"",-10.5,"",41.2,"",13.5,"","31","",0,"",0,11,5
"251190050","PUCZNIEW","2015","04",24.9,"",14.1,"",-3.0,"",2.2,"",7.8,"",-4.0,"",25.1,"",12.7,"","28","",1,"",1,5,5
"251190050","PUCZNIEW","2015","05",24.9,"",19.2,"",-.3,"",7.2,"",13.0,"",-2.9,"",22.3,"",4.8,"","09","",0,"",0,14,0
"251190050","PUCZNIEW","2015","06",31.3,"",23.1,"",3.7,"",10.2,"",16.7,"",1.3,"",42.0,"",11.3,"","22","",0,"",0,14,0
"251190050","PUCZNIEW","2015","07",35.0,"",26.5,"",6.9,"",12.7,"",19.8,"",3.2,"",44.6,"",9.8,"","25","",0,"",0,15,0
"251190050","PUCZNIEW","2015","08",36.9,"",30.0,"",3.4,"",14.2,"",21.8,"",1.0,"",13.0,"",6.5,"","25","",0,"",0,6,0
"251190050","PUCZNIEW","2015","09",35.3,"",21.1,"",-.2,"",9.3,"",14.2,"",-3.4,"",49.9,"",18.0,"","06","",0,"",0,7,0
"251190050","PUCZNIEW","2015","10",22.9,"",12.6,"",-5.0,"",2.5,"",6.5,"",-8.0,"",47.3,"",19.2,"","17","",0,"",0,7,1
"251190050","PUCZNIEW","2015","11",16.3,"",9.2,"",-4.1,"",2.4,"",5.3,"",-6.3,"",51.5,"",11.3,"","15","",0,"",0,14,2
"251190050","PUCZNIEW","2015","12",13.9,"",7.9,"",-7.1,"",2.8,"",5.0,"",-10.2,"",21.5,"",5.5,"","13","",0,"",0,14,0
"251200030","SKIERNIEWICE","2015","01",12.0,"",4.0,"",-11.0,"",-1.0,"",1.5,"",-11.5,"",34.8,"",6.9,"","22","",5,"",6,9,9
"251200030","SKIERNIEWICE","2015","02",8.6,"",4.3,"",-6.5,"",-1.9,"",.9,"",-9.0,"",15.5,"",5.9,"","07","",6,"",6,3,4
"251200030","SKIERNIEWICE","2015","03",17.5,"",10.2,"",-6.3,"",.2,"",4.7,"",-10.1,"",39.9,"",14.2,"","31","",0,"",0,9,3
"251200030","SKIERNIEWICE","2015","04",24.1,"",14.0,"",-1.6,"",3.0,"",8.2,"",-4.0,"",47.7,"",15.9,"","28","",0,"",0,6,6
"251200030","SKIERNIEWICE","2015","05",25.3,"",18.6,"",1.2,"",7.4,"",13.0,"",-2.2,"",35.6,"",11.6,"","06","",0,"",0,13,0
"251200030","SKIERNIEWICE","2015","06",29.8,"",23.0,"",4.1,"",10.1,"",17.0,"",1.5,"",40.5,"",12.8,"","12","",0,"",0,9,0
"251200030","SKIERNIEWICE","2015","07",34.9,"",26.1,"",5.7,"",12.8,"",19.7,"",4.2,"",43.5,"",12.0,"","08","",0,"",0,14,0
"251200030","SKIERNIEWICE","2015","08",36.5,"",29.4,"",4.3,"",13.2,"",21.5,"",3.4,"",18.1,"",10.0,"","15","",0,"",0,5,0
"251200030","SKIERNIEWICE","2015","09",34.8,"",20.6,"",3.0,"",9.7,"",14.6,"",.0,"",29.3,"",12.2,"","06","",0,"",0,11,0
"251200030","SKIERNIEWICE","2015","10",22.9,"",12.2,"",-8.0,"",2.1,"",6.7,"",-11.9,"",55.3,"",34.8,"","17","",0,"",0,9,0
"251200030","SKIERNIEWICE","2015","11",17.5,"",8.8,"",-6.5,"",2.0,"",5.2,"",-8.7,"",46.0,"",8.4,"","30","",0,"",0,16,0
"251200030","SKIERNIEWICE","2015","12",14.4,"",8.0,"",-9.0,"",1.5,"",4.8,"",-11.6,"",16.8,"",3.9,"","13","",0,"",0,9,2
"251200150","£AZISKA","2015","01",10.3,"",3.7,"",-13.7,"",-2.0,"",1.0,"",.0,"8",40.7,"",9.5,"","22","",5,"",6,10,9
"251210040","JARCZEW","2015","01",11.9,"",3.7,"",-14.3,"",-1.1,"",1.0,"",-15.3,"",52.6,"",10.1,"","30","",2,"",9,7,11
"251210040","JARCZEW","2015","02",10.5,"",3.7,"",-7.8,"",-2.1,"",.4,"",-11.2,"",6.4,"",3.6,"","25","",4,"",12,5,3
"251210040","JARCZEW","2015","03",20.1,"",9.6,"",-6.9,"",1.0,"",4.6,"",-10.3,"",52.1,"",11.8,"","31","",0,"",0,11,3
"251210040","JARCZEW","2015","04",23.9,"",14.0,"",-1.5,"",3.3,"",8.1,"",-5.1,"",21.9,"",6.5,"","01","",0,"",0,7,3
"251210040","JARCZEW","2015","05",24.9,"",18.5,"",.5,"",6.9,"",12.6,"",-3.0,"",108.4,"",21.6,"","06","",0,"",0,14,0
"251210040","JARCZEW","2015","06",29.3,"",22.6,"",6.3,"",10.6,"",17.0,"",1.9,"",15.2,"",6.9,"","23","",0,"",0,10,0
"251210040","JARCZEW","2015","07",34.3,"",25.8,"",6.3,"",12.9,"",19.5,"",2.4,"",32.7,"",9.7,"","19","",0,"",0,13,0
"251210040","JARCZEW","2015","08",35.8,"",29.2,"",5.8,"",13.4,"",21.4,"",1.0,"",12.3,"",7.1,"","09","",0,"",0,2,0
"251210040","JARCZEW","2015","09",33.8,"",19.6,"",3.4,"",10.2,"",14.5,"",.0,"",119.4,"",44.7,"","24","",0,"",0,16,0
"251210040","JARCZEW","2015","10",21.9,"",11.6,"",-6.1,"",2.4,"",6.4,"",-10.6,"",32.3,"",23.1,"","21","",0,"",0,8,0
"251210040","JARCZEW","2015","11",17.2,"",8.3,"",-6.4,"",1.7,"",4.8,"",-9.5,"",50.9,"",6.8,"","18","30",1,"",2,15,2
"251210040","JARCZEW","2015","12",13.5,"",6.9,"",-9.3,"",1.0,"",3.8,"",-11.6,"",22.9,"",6.2,"","13","",3,"",2,9,2
"251210120","PU£AWY","2015","01",10.3,"",3.9,"",-12.8,"",-.8,"",1.3,"",-15.6,"",55.3,"",9.0,"","30","",3,"",6,8,11
"251210120","PU£AWY","2015","02",11.5,"",4.4,"",-6.5,"",-1.3,"",1.0,"",-8.8,"",9.9,"",6.8,"","25","",1,"",2,4,4
"251210120","PU£AWY","2015","03",21.3,"",10.5,"",-6.1,"",1.3,"",5.1,"",-8.5,"",45.7,"",9.8,"","27","",1,"",1,11,3
"251210120","PU£AWY","2015","04",24.5,"",13.9,"",-.4,"",4.0,"",8.6,"",-3.6,"",28.5,"",4.5,"","01","26",0,"",0,10,6
"251210120","PU£AWY","2015","05",25.7,"",18.8,"",2.8,"",8.4,"",13.5,"",-.5,"",111.6,"",23.0,"","06","",0,"",0,16,0
"251210120","PU£AWY","2015","06",31.1,"",23.3,"",7.8,"",12.2,"",17.9,"",5.6,"",32.0,"",10.0,"","08","",0,"",0,9,0
"251210120","PU£AWY","2015","07",34.2,"",26.2,"",9.5,"",14.6,"",20.4,"",7.7,"",55.4,"",17.3,"","18","",0,"",0,14,0
"251210120","PU£AWY","2015","08",36.4,"",30.1,"",8.3,"",15.6,"",22.6,"",6.4,"",3.6,"",3.6,"","25","",0,"",0,1,0
"251210120","PU£AWY","2015","09",34.1,"",20.2,"",5.0,"",11.8,"",15.2,"",3.0,"",126.0,"",39.0,"","24","",0,"",0,18,0
"251210120","PU£AWY","2015","10",22.5,"",12.0,"",-2.3,"",3.7,"",7.0,"",-6.0,"",30.0,"",13.5,"","21","",0,"",0,9,0
"251210120","PU£AWY","2015","11",16.2,"",8.5,"",-3.7,"",2.7,"",5.2,"",-7.1,"",47.4,"",8.0,"","19","",1,"",1,14,1
"251210120","PU£AWY","2015","12",14.4,"",7.4,"",-8.6,"",1.4,"",4.0,"",-11.7,"",25.2,"",4.1,"","11","",1,"",1,10,3
"251230120","BEZEK","2015","01",10.5,"",2.9,"",-18.3,"",-1.4,"",.6,"",-20.0,"",33.0,"",5.8,"","30","",6,"",9,9,11
"251230120","BEZEK","2015","02",10.6,"",3.7,"",-8.7,"",-2.0,"",.5,"",-10.3,"",2.6,"",1.4,"","02","",3,"",5,2,3
"251230120","BEZEK","2015","03",20.0,"",9.8,"",-5.6,"",1.1,"",4.8,"",-8.5,"",38.5,"",9.8,"","13","",1,"",1,9,5
"251230120","BEZEK","2015","04",23.9,"",12.6,"",-1.5,"",4.4,"",8.1,"",-4.5,"",33.7,"",14.2,"","28","",5,"",2,8,8
"251230120","BEZEK","2015","05",24.4,"",18.0,"",4.2,"",8.7,"",13.1,"",-.8,"",62.2,"",19.1,"","26","",0,"",0,20,0
"251230120","BEZEK","2015","06",29.9,"",22.8,"",6.7,"",12.3,"",17.6,"",3.8,"",15.5,"",5.0,"","15","",0,"",0,6,0
"251230120","BEZEK","2015","07",34.8,"",26.1,"",9.6,"",15.0,"",20.2,"",7.0,"",45.4,"",15.1,"","08","",0,"",0,16,0
"251230120","BEZEK","2015","08",35.3,"",29.0,"",8.0,"",15.8,"",22.2,"",5.1,"",6.9,"",5.8,"","25","",0,"",0,2,0
"251230120","BEZEK","2015","09",34.5,"",19.7,"",4.0,"",11.9,"",15.1,"",.0,"",94.2,"",17.3,"","26","",0,"",0,16,0
"251230120","BEZEK","2015","10",21.9,"",11.3,"",-3.4,"",3.8,"",6.9,"",-7.1,"",44.3,"",19.7,"","21","",0,"",0,8,0
"252150120","GORZYÑ","2015","01",12.1,"",4.7,"",-5.4,"",.6,"",2.5,"",-5.5,"",45.2,"",8.3,"","09","",2,"",1,13,12
"252150120","GORZYÑ","2015","02",12.0,"",5.5,"",-6.4,"",-1.5,"",1.3,"",-13.6,"",11.6,"",4.1,"","07","",4,"",6,2,5
"252150120","GORZYÑ","2015","03",17.3,"",10.5,"",-4.4,"",1.1,"",5.1,"",-8.0,"",53.3,"",25.8,"","31","",0,"",0,12,3
"252150120","GORZYÑ","2015","04",24.9,"",14.8,"",-1.9,"",3.6,"",8.6,"",-6.2,"",32.7,"",8.5,"","27","",0,"",0,6,2
"252150120","GORZYÑ","2015","05",25.8,"",19.1,"",.0,"",6.8,"",13.2,"",-2.0,"",17.6,"",6.0,"","12","",0,"",0,10,0
"252150120","GORZYÑ","2015","06",33.5,"",21.6,"",5.1,"",10.5,"",16.1,"",2.1,"",49.7,"",12.3,"","23","",0,"",0,16,0
"252150120","GORZYÑ","2015","07",34.6,"",25.3,"",8.9,"",13.7,"",19.5,"",1.8,"",72.7,"",16.4,"","13","",0,"",0,11,0
"252150120","GORZYÑ","2015","08",37.2,"",29.9,"",5.4,"",15.0,"",22.3,"",2.5,"",11.3,"",5.2,"","15","",0,"",0,9,0
"252150120","GORZYÑ","2015","09",32.5,"",20.5,"",2.5,"",10.0,"",14.3,"",-1.0,"",34.7,"",8.0,"","01","",0,"",0,14,0
"252150120","GORZYÑ","2015","10",21.5,"",12.5,"",-2.9,"",4.5,"",7.8,"",-5.7,"",26.4,"",7.8,"","15","",0,"",0,10,0
"252150120","GORZYÑ","2015","11",16.1,"",9.7,"",-4.4,"",3.4,"",6.3,"",-7.6,"",59.3,"",13.4,"","15","",0,"",0,16,3
"252150120","GORZYÑ","2015","12",14.3,"",8.8,"",-4.9,"",4.0,"",6.2,"",-6.1,"",34.0,"",9.3,"","12","",0,"",0,21,1
"252150270","BABIMOST","2015","01",12.8,"",5.1,"",-6.4,"",-.2,"",2.3,"",.0,"8",46.3,"",9.3,"","09","",4,"",4,10,12
"252150270","BABIMOST","2015","02",11.4,"",5.7,"",-9.2,"",-3.7,"",.3,"",.0,"8",6.1,"",1.9,"","03","",2,"",4,1,4
"252150270","BABIMOST","2015","03",18.8,"",11.0,"",-6.3,"",.0,"",4.8,"",.0,"8",41.0,"",11.6,"","31","",0,"",0,9,4
"252150270","BABIMOST","2015","04",25.5,"",15.6,"",-4.3,"",1.5,"",8.3,"",.0,"8",38.8,"",15.1,"","27","",1,"",2,5,4
"252150270","BABIMOST","2015","05",25.5,"",19.9,"",-2.1,"",5.5,"",13.2,"",.0,"8",18.7,"",7.0,"","09","",0,"",0,9,0
"252150270","BABIMOST","2015","06",33.9,"",22.6,"",3.6,"",9.4,"",16.2,"",.0,"8",59.4,"",11.6,"","08","",0,"",0,14,0
"252150270","BABIMOST","2015","07",34.8,"",26.6,"",4.7,"",13.0,"",20.1,"",.0,"8",88.8,"",26.8,"","22","",0,"",0,17,0
"252150270","BABIMOST","2015","08",38.0,"",30.3,"",4.1,"",13.8,"",21.9,"",.0,"8",8.8,"",5.2,"","08","",0,"",0,7,0
"252150270","BABIMOST","2015","09",33.4,"",21.2,"",.3,"",7.9,"",13.8,"",.0,"8",48.0,"",15.9,"","06","",0,"",0,8,0
"252150270","BABIMOST","2015","10",21.9,"",13.0,"",-3.1,"",3.0,"",7.3,"",.0,"8",26.7,"",10.8,"","15","",0,"",0,8,0
"252150270","BABIMOST","2015","11",17.3,"",10.8,"",-6.6,"",1.7,"",5.8,"",.0,"8",60.2,"",17.2,"","15","",0,"",0,14,3
"252150270","BABIMOST","2015","12",15.1,"",9.6,"",-7.4,"",1.8,"",5.6,"",.0,"8",22.5,"",8.6,"","12","",0,"",0,11,1
"252160230","WIELICHOWO","2015","01",14.3,"",5.3,"",-7.3,"",-1.0,"",2.1,"",-7.4,"",38.6,"",5.5,"","02","26",4,"",5,13,12
"252160230","WIELICHOWO","2015","02",12.3,"",6.0,"",-7.6,"",-3.2,"",.9,"",-7.8,"",9.4,"",5.6,"","07","",10,"",2,1,6
"252160230","WIELICHOWO","2015","03",17.5,"",11.0,"",-6.3,"",.1,"",4.9,"",-7.1,"",40.9,"",11.0,"","31","",0,"",0,13,3
"252160230","WIELICHOWO","2015","04",24.3,"",15.5,"",-4.8,"",1.4,"",8.4,"",-5.9,"",19.8,"",7.5,"","02","",0,"",0,6,2
"252160230","WIELICHOWO","2015","05",25.3,"",19.4,"",-1.9,"",5.4,"",13.0,"",-3.4,"",14.3,"",3.3,"","03","",0,"",0,10,0
"252160230","WIELICHOWO","2015","06",32.3,"",22.2,"",3.0,"",9.6,"",16.2,"",1.9,"",68.5,"",12.7,"","07","",0,"",0,12,0
"252160230","WIELICHOWO","2015","07",34.8,"",26.7,"",5.2,"",13.3,"",20.1,"",2.0,"",106.8,"",44.0,"","22","",0,"",0,19,0
"252160230","WIELICHOWO","2015","08",38.3,"",30.3,"",3.7,"",14.6,"",22.1,"",3.0,"",8.6,"",3.4,"","08","",0,"",0,8,0
"252160230","WIELICHOWO","2015","09",34.8,"",21.3,"",-.9,"",8.4,"",14.1,"",-2.0,"",21.9,"",7.8,"","06","",0,"",0,12,0
"252160230","WIELICHOWO","2015","10",22.3,"",13.3,"",-3.5,"",3.3,"",7.6,"",-5.0,"",27.2,"",14.2,"","15","",0,"",0,7,0
"252160230","WIELICHOWO","2015","11",16.4,"",10.5,"",-5.9,"",2.0,"",5.9,"",-6.3,"",50.2,"",14.9,"","15","",0,"",0,16,2
"252160230","WIELICHOWO","2015","12",15.0,"",9.3,"",-5.8,"",2.5,"",5.7,"",-7.6,"",29.6,"",8.4,"","12","",0,"",0,15,1
"252170210","KÓRNIK","2015","01",12.7,"",4.6,"",-5.4,"",.3,"",2.2,"",-7.9,"",38.7,"",6.8,"","08","",3,"",1,10,9
"252170210","KÓRNIK","2015","02",10.1,"",5.1,"",-5.9,"",-1.3,"",1.2,"",-8.6,"",9.1,"",2.7,"","08","",3,"",3,0,5
"252170210","KÓRNIK","2015","03",18.5,"",10.7,"",-5.1,"",1.3,"",5.1,"",-8.0,"",53.0,"",16.9,"","31","",0,"",0,11,5
"252170210","KÓRNIK","2015","04",25.5,"",15.1,"",-1.9,"",3.0,"",8.5,"",-4.2,"",29.5,"",11.5,"","27","",0,"",0,5,3
"252170210","KÓRNIK","2015","05",26.4,"",19.9,"",.3,"",7.2,"",13.5,"",-1.0,"",17.3,"",6.0,"","09","",0,"",0,10,0
"252170210","KÓRNIK","2015","06",32.1,"",22.3,"",5.4,"",10.6,"",16.4,"",2.8,"",71.7,"",23.7,"","12","",0,"",0,16,0
"252170210","KÓRNIK","2015","07",34.9,"",26.1,"",7.7,"",13.8,"",19.9,"",5.1,"",66.9,"",17.6,"","22","",0,"",0,14,0
"252170210","KÓRNIK","2015","08",37.8,"",29.9,"",5.4,"",14.6,"",21.8,"",1.6,"",20.6,"",13.4,"","15","",0,"",0,6,0
"252170210","KÓRNIK","2015","09",35.2,"",21.4,"",2.9,"",9.7,"",14.5,"",-2.0,"",25.4,"",9.4,"","01","",0,"",0,10,0
"252170210","KÓRNIK","2015","10",23.4,"",12.8,"",-2.4,"",4.1,"",7.5,"",-7.0,"",24.1,"",8.8,"","15","",0,"",0,11,0
"252170210","KÓRNIK","2015","11",16.6,"",9.7,"",-4.2,"",3.2,"",6.0,"",-7.3,"",54.0,"",16.2,"","15","",0,"",0,16,2
"252170210","KÓRNIK","2015","12",14.6,"",8.6,"",-5.6,"",3.3,"",5.7,"",-8.8,"",27.5,"",5.4,"","12","",0,"",0,17,0
"252180080","KO£UDA WIELKA","2015","01",10.7,"",3.4,"",-7.1,"",-.3,"",1.3,"",-8.2,"",27.7,"",5.6,"","08","",2,"",4,11,8
"252180080","KO£UDA WIELKA","2015","02",7.7,"",3.9,"",-5.9,"",-1.9,"",.6,"",-9.2,"",8.7,"",2.8,"","07","",7,"",7,3,5
"252180080","KO£UDA WIELKA","2015","03",16.6,"",9.8,"",-3.7,"",1.1,"",4.7,"",-7.6,"",30.3,"",8.8,"","31","",0,"",0,12,3
"252180080","KO£UDA WIELKA","2015","04",23.6,"",13.9,"",-2.9,"",2.8,"",7.9,"",-6.7,"",21.5,"",7.9,"","27","",0,"",0,10,3
"252180080","KO£UDA WIELKA","2015","05",23.6,"",18.4,"",1.6,"",6.8,"",12.8,"",-2.6,"",21.8,"",8.7,"","20","",0,"",0,12,0
"252180080","KO£UDA WIELKA","2015","06",30.7,"",21.8,"",4.4,"",10.2,"",16.1,"",3.2,"",49.3,"",20.4,"","12","",0,"",0,9,0
"252180080","KO£UDA WIELKA","2015","07",34.8,"",25.2,"",8.9,"",13.7,"",19.4,"",6.3,"",107.4,"",41.5,"","25","",0,"",0,16,0
"252180080","KO£UDA WIELKA","2015","08",35.7,"",28.5,"",7.5,"",14.7,"",21.4,"",5.4,"",6.9,"",3.0,"","25","",0,"",0,5,0
"252180080","KO£UDA WIELKA","2015","09",34.6,"",20.3,"",3.0,"",10.2,"",14.5,"",.4,"",36.2,"",12.7,"","06","",0,"",0,7,0
"252180080","KO£UDA WIELKA","2015","10",21.6,"",11.6,"",-3.3,"",4.1,"",7.3,"",-8.1,"",30.3,"",6.4,"","15","",0,"",0,9,1
"252180080","KO£UDA WIELKA","2015","11",15.1,"",8.4,"",-3.4,"",3.5,"",5.6,"",-5.0,"",39.0,"",7.9,"","15","",0,"",0,15,0
"252180080","KO£UDA WIELKA","2015","12",13.3,"",7.2,"",-6.0,"",2.8,"",4.9,"",-7.6,"",19.0,"",4.2,"","12","",0,"",0,14,1
"252190030","G£ODOWO","2015","01",11.8,"",3.7,"",-10.6,"",-2.2,"",.9,"",-11.6,"",35.2,"",7.4,"","08","",0,"",0,19,0
"252190030","G£ODOWO","2015","02",8.4,"",4.1,"",-9.8,"",-3.3,"",.2,"",-12.0,"",8.0,"",2.0,"","07","",0,"",0,9,0
"252190030","G£ODOWO","2015","03",16.3,"",9.8,"",-6.7,"",.1,"",4.5,"",-7.9,"",40.0,"",9.3,"","31","",0,"",0,15,0
"252190030","G£ODOWO","2015","04",23.6,"",13.9,"",-3.0,"",2.5,"",7.9,"",-6.5,"",11.1,"",5.8,"","28","",0,"",0,9,0
"252190030","G£ODOWO","2015","05",26.7,"",18.8,"",-1.6,"",6.6,"",13.1,"",-5.6,"",18.3,"",8.8,"","20","",0,"",0,11,0
"252190030","G£ODOWO","2015","06",30.3,"",22.6,"",5.3,"",10.0,"",16.6,"",3.3,"",32.5,"",9.7,"","12","",0,"",0,10,0
"252190030","G£ODOWO","2015","07",35.0,"",25.2,"",7.2,"",12.3,"",19.1,"",5.8,"",76.9,"",20.6,"","22","",0,"",0,14,0
"252190030","G£ODOWO","2015","08",35.8,"",28.8,"",5.0,"",13.5,"",21.4,"",3.5,"",6.5,"",4.1,"","25","",0,"",0,5,0
"252190030","G£ODOWO","2015","09",34.8,"",19.9,"",.4,"",8.4,"",13.7,"",-2.7,"",32.5,"",8.8,"","06","",0,"",0,11,0
"252190030","G£ODOWO","2015","10",22.3,"",11.7,"",-5.0,"",2.4,"",6.5,"",-11.1,"",45.5,"",17.6,"","17","",0,"",0,11,0
"252190030","G£ODOWO","2015","11",14.8,"",7.9,"",-4.6,"",2.3,"",5.1,"",-6.3,"",35.4,"",5.1,"","13","",0,"",0,15,0
"252190030","G£ODOWO","2015","12",13.3,"",7.2,"",-8.0,"",1.2,"",4.1,"",-9.2,"",20.5,"",6.3,"","13","",0,"",0,17,0
"252200120","LEGIONOWO","2015","01",10.6,"",3.8,"",-13.5,"",-.8,"",1.3,"",-15.5,"",46.9,"",8.1,"","22","",4,"",14,10,13
"252200120","LEGIONOWO","2015","02",9.5,"",4.4,"",-6.3,"",-1.3,"",.9,"",-10.6,"",3.7,"",1.0,"","18","",0,"",0,8,0
"252200120","LEGIONOWO","2015","03",19.0,"",10.3,"",-6.1,"",1.0,"",5.0,"",-7.9,"",24.1,"",6.7,"","31","",0,"",0,12,0
"252200120","LEGIONOWO","2015","04",23.9,"",13.9,"",-1.2,"",3.6,"",8.6,"",-2.8,"",25.5,"",13.1,"","28","",0,"",0,11,0
"252200120","LEGIONOWO","2015","05",25.8,"",18.8,"",-.3,"",7.9,"",13.4,"",-2.0,"",35.7,"",17.0,"","06","",0,"",0,17,0
"252200120","LEGIONOWO","2015","06",30.4,"",23.8,"",7.1,"",11.7,"",18.1,"",5.4,"",23.5,"",14.9,"","13","",0,"",0,9,0
"252200120","LEGIONOWO","2015","07",35.6,"",26.1,"",8.7,"",14.0,"",20.2,"",7.7,"",48.9,"",14.9,"","19","",0,"",0,13,0
"252200120","LEGIONOWO","2015","08",37.0,"",29.8,"",7.6,"",15.0,"",22.3,"",5.9,"",4.6,"",4.1,"","25","",0,"",0,4,0
"252200120","LEGIONOWO","2015","09",34.9,"",20.8,"",4.0,"",11.1,"",15.1,"",2.6,"",33.7,"",6.6,"","07","",0,"",0,14,0
"252200120","LEGIONOWO","2015","10",22.9,"",12.1,"",-5.5,"",3.3,"",6.9,"",-7.7,"",43.7,"",21.0,"","17","",0,"",0,12,0
"252200120","LEGIONOWO","2015","11",15.7,"",7.8,"",-4.9,"",2.8,"",5.0,"",-6.8,"",48.8,"",8.6,"","09","",0,"",0,14,0
"252200120","LEGIONOWO","2015","12",14.1,"",7.5,"",-9.2,"",1.9,"",4.4,"",-10.0,"",19.1,"",7.3,"","13","",0,"",0,14,0
"252200150","WARSZAWA-BIELANY","2015","01",10.8,"",4.0,"",-10.9,"",-.3,"",1.6,"",-13.0,"",36.8,"",5.9,"","22","",2,"",8,8,12
"252200150","WARSZAWA-BIELANY","2015","02",9.0,"",4.6,"",-5.7,"",-.8,"",1.5,"",-9.0,"",2.9,"",1.3,"","25","",4,"",10,3,4
"252200150","WARSZAWA-BIELANY","2015","03",19.9,"",10.6,"",-3.6,"",2.1,"",5.9,"",-6.9,"",38.2,"",12.9,"","27","",0,"",0,10,3
"252200150","WARSZAWA-BIELANY","2015","04",24.9,"",14.2,"",-.6,"",4.6,"",9.2,"",-4.5,"",19.9,"",7.8,"","28","",0,"",0,5,6
"252200150","WARSZAWA-BIELANY","2015","05",25.6,"",19.0,"",2.4,"",8.9,"",14.0,"",.3,"",38.4,"",12.0,"","06","",0,"",0,19,0
"252200150","WARSZAWA-BIELANY","2015","06",29.5,"",24.0,"",6.0,"",12.3,"",18.6,"",5.9,"",20.1,"",8.9,"","12","",0,"",0,9,0
"252200150","WARSZAWA-BIELANY","2015","07",35.3,"",26.3,"",10.2,"",14.8,"",20.6,"",8.8,"",50.6,"",15.6,"","25","",0,"",0,13,0
"252200150","WARSZAWA-BIELANY","2015","08",38.0,"",30.8,"",8.7,"",16.0,"",23.4,"",6.3,"",4.4,"",4.0,"","25","",0,"",0,3,0
"252200150","WARSZAWA-BIELANY","2015","09",34.3,"",21.6,"",6.1,"",12.0,"",16.1,"",4.1,"",43.2,"",10.9,"","06","",0,"",0,16,0
"252200150","WARSZAWA-BIELANY","2015","10",21.6,"",12.7,"",-4.4,"",4.2,"",7.9,"",-6.1,"",37.7,"",16.4,"","17","",0,"",0,13,0
"252200150","WARSZAWA-BIELANY","2015","11",15.8,"",8.5,"",-4.3,"",3.5,"",5.7,"",-4.3,"",41.0,"",6.9,"","13","",0,"",0,16,0
"252200150","WARSZAWA-BIELANY","2015","12",14.2,"",7.8,"",-6.9,"",2.9,"",5.0,"",-7.6,"",15.0,"",3.9,"","13","",0,"",0,11,1
"252200230","WARSZAWA-FILTRY","2015","01",10.9,"",3.8,"",-11.3,"",-.3,"",1.5,"",-12.1,"",45.2,"",8.5,"","30","",3,"",7,8,16
"252200230","WARSZAWA-FILTRY","2015","02",9.4,"",4.6,"",-6.0,"",-.9,"",1.3,"",-8.3,"",9.8,"",3.7,"","09","",3,"",10,3,5
"252200230","WARSZAWA-FILTRY","2015","03",19.6,"",10.7,"",-3.4,"",2.1,"",5.7,"",-6.6,"",25.1,"",7.9,"","31","",0,"",0,9,3
"252200230","WARSZAWA-FILTRY","2015","04",24.6,"",14.3,"",-.4,"",4.6,"",9.1,"",-2.2,"",25.7,"",10.5,"","28","",0,"",0,6,4
"252200230","WARSZAWA-FILTRY","2015","05",26.6,"",19.3,"",3.4,"",9.3,"",14.1,"",-.2,"",27.7,"",8.4,"","06","",0,"",0,15,0
"252200230","WARSZAWA-FILTRY","2015","06",-99.9,"8",.0,"8",.0,"8",.0,"8",.0,"8",.0,"8",.0,"8",.0,"8","12","",0,"9",0,0,0
